Number,State,Type,First Row,Last Row,404s,Non-404 Errors
01,ak,counties,949,1039,0,0
01,ak,positions,1040,1183,0,0
02,al,counties,1184,1567,201,0
02,al,positions,1568,2394,0,0
03,ar,counties,2395,3601,0,1
03,ar,positions,3602,5787,25,0
04,az,counties,5788,6112,0,1
04,az,positions,6113,6602,0,0
05,ca,counties,6603,8060,0,1
05,ca,positions,8061,10195,30,0
06,co,counties,10196,10560,0,1
06,co,positions,10561,11373,0,0
07,ct,counties,11374,11706,0,1
07,ct,positions,11707,12749,1,0
08,de,counties,12750,12825,2,0
08,de,positions,12826,12935,0,0
09,dc,counties,12936,12938,0,0
09,dc,positions,12939,12948,0,0
10,fl,counties,12949,13449,0,1
10,fl,positions,13450,14236,0,0
11,ga,counties,14237,14982,60,1
11,ga,positions,14983,15792,0,0
12,hi,counties,15793,15797,0,0
12,hi,positions,15798,15810,0,0
13,ia,counties,15811,18306,2,1
13,ia,positions,18307,23117,0,0
14,id,counties,23118,23509,0,1
14,id,positions,23510,24282,0,0
15,il,counties,24283,27905,0,6
15,il,positions,27906,31534,0,0
16,in,counties,31535,33392,4,1
16,in,positions,33393,36759,0,0
17,ks,counties,36760,39091,0,1
17,ks,positions,39092,41798,0,0
18,ky,counties,41799,42503,0,1
18,ky,positions,42504,44781,0,0
19,la,counties,44782,45225,1,1
19,la,positions,45226,46046,0,0
20,ma,counties,46047,46622,0,1
20,ma,positions,46623,47475,0,0
21,md,counties,47476,47635,0,0
21,md,positions,47636,47965,0,0
22,me,counties,47966,48261,0,0
22,me,positions,48262,48608,2,0
23,mi,counties,48609,50976,0,1
23,mi,positions,50977,52949,0,10
24,mn,counties,52950,55460,2,2
24,mn,positions,55461,60016,21,0
25,mo,counties,60017,61597,1,1
25,mo,positions,61598,64839,0,0
26,ms,counties,64840,65511,0,1
26,ms,positions,65512,65676,0,0
27,mt,counties,65677,66077,0,0
27,mt,positions,66078,66874,42,0
28,nc,counties,66875,67662,0,1
28,nc,positions,67663,69114,0,0
29,nd,counties,69115,69713,0,1
29,nd,positions,69714,70516,77,0
30,ne,counties,70517,71607,1,1
30,ne,positions,71608,73425,0,0
31,nh,counties,73426,73735,0,1
31,nh,positions,73736,74687,7,0
32,nj,counties,74688,75821,2,1
32,nj,positions,75822,77221,0,0
33,nm,counties,77222,77442,0,0
33,nm,positions,77443,77806,0,0
34,nv,counties,77807,77873,0,0
34,nv,positions,77874,78113,0,0
35,ny,counties,78114,80228,52,1
35,ny,positions,80229,85542,390,0
36,oh,counties,85543,88436,53,1
36,oh,positions,88437,91888,0,0
37,ok,counties,91889,92756,1,1
37,ok,positions,92757,94028,0,0
38,or,counties,94029,94510,0,1
38,or,positions,94511,95525,0,0
39,pa,counties,95526,98627,8,2
39,pa,positions,98628,106974,3,10
40,ri,counties,106975,107048,0,0
40,ri,positions,107049,107188,0,0
41,sc,counties,107189,107550,0,1
41,sc,positions,107551,108119,0,0
42,sd,counties,108120,109318,1,1
42,sd,positions,109319,112644,3,0
43,tn,counties,112645,113436,0,1
43,tn,positions,113437,114968,0,0
44,tx,counties,114969,117259,51,1
44,tx,positions,117260,121962,0,0
45,ut,counties,121963,122267,0,0
45,ut,positions,122268,122815,0,0
46,va,counties,122816,123236,0,1
46,va,positions,123237,123855,0,0
47,vt,counties,123856,124159,0,0
47,vt,positions,124160,125075,4,0
48,wa,counties,125076,125722,0,1
48,wa,positions,125723,127040,0,0
49,wi,counties,127041,129075,4,1
49,wi,positions,129076,134552,67,0
50,wv,counties,134553,134737,0,0
50,wv,positions,134738,135091,0,0
51,wy,counties,135092,135248,0,0
51,wy,positions,135249,135762,0,0
